idVaga,NomeVaga,Cidade,UF,Salario,QuantidadeVaga,DataPesquisa,Perfil,Descricao,DataPubli,Pesquisa
15244079,Analista de Modelos Estatísticos Sênior,Barueri,SP,A Combinar,1,2019-09-16,Profissional,Atuar com desenvolvimento de modelos estatísticos para todo o ciclo de crédito (propensão; concessão e recuperação). Avaliação de novas técnicas estatísticas para melhores resultados; apresentação para clientes de resultados. Para atuação nesta área e protagonizar sua carreira; além de pensamento inovador; você precisará de: Sólidos conhecimentos em técnicas de Machine Learning; Conhecimento em SAS; R ou Python. Vivência em Regressão Logística. Formação necessária para estas posições: Matemática; Estatística; Ciência da Computação ou Engenharia. Remuneração; Benefícios e Vantagens: A Boa Vista SCPC oferece um programa de benefícios flexíveis e você poderá distribuí-los de acordo com suas necessidades: Remuneração compatível com o mercado; Jornada de 40 horas semanais em horário flexível; Trabalho em jornada flexível; Participação nos Resultados (PPR); Assistência Médica; Assistência Odontológica; Vale- refeição/Alimentação; Transporte fretado para diversas regiões conforme disponibilidade/Vale-transporte; Previdência Privada com coparticipação da Boa Vista; Seguro de vida; Convênio farmácia; Convênio SESC; Wi-Fi liberado em todas as áreas; Day-off no dia do seu aniversário + ingresso para cinema; Espaços exclusivos para refeições; lazer e descanso com rede; bebidas quentes; frigobar; televisão; vídeo game; mesa de sinuca; ping-pong e outros jogos; Ambulatório com consultas assistenciais para dependentes legais; incluindo campanhas de vacinas sazonais; PAE Programa de Assistência ao Empregado e Familiares; com atendimento de equipe multidisciplinar por telefone composta por Assistente Social; Psicólogos; Advogados e Nutricionistas 24 horas por dia; 7 dias da semana sem qualquer custo.,2019-07-22T20:59:59-0300,estatístico
15260074,Estatístico - Cientista de Dados,Curitiba,PR,A Combinar,1,2019-09-16,Profissional,Definição de regras associativas. Modelos de classificação. Análise exploratória. Mineração de dados. Conhecimento em R ou Python. Excel avançado.,2019-07-23T20:59:59-0300,estatístico
15102801,Estágio em Estatística,Brasilia,DF,"Até R$ 1.000,00",1,2019-09-16,Estagiário,Cursando 4º ano Deverá estar cursando: Ensino Superior. Auxiliar no controle e execução dos programas e processos de estatística; entre demais atividades pertinentes ao cargo.,2019-08-16T20:59:59-0300,estatístico
15102814,Estágio em Estatística,Lago Sul,DF,"Até R$ 1.000,00",1,2019-09-16,Estagiário,Deverá estar cursando: Ensino Superior. Auxiliar no controle e execução dos programas e processos de estatística; entre demais atividades pertinentes ao cargo.,2019-08-16T20:59:59-0300,estatístico
15102836,Estágio em Estatística,Sobradinho,DF,"Até R$ 1.000,00",1,2019-09-16,Estagiário,Deverá estar cursando: Ensino Superior. Auxiliar no controle e execução dos programas e processos de estatística; entre demais atividades pertinentes ao cargo.,2019-08-16T20:59:59-0300,estatístico
15222821,Estágio em Estatística,São Paulo,SP,"De R$ 1.001,00 a R$ 2.000,00",1,2019-09-16,Estagiário,Deverá estar cursando: Ensino Superior em Estatística. Análise de website; medir a popularidade de um site; medir o posicionamento da concorrência.,2019-09-12T20:59:59-0300,estatístico
15260935,Estágio em Estatística,Santos,SP,"Até R$ 1.000,00",1,2019-09-16,Estagiário,Deverá estar cursando: Ensino Superior em Estatística; Matemática; Administração; Ciências da Computação ou Desenvolvimento de sistemas. Analisar comparação de preços; verificar desvio padrão; definir precificação baseado em variáveis. Conhecimento em Excel avançado.,2019-07-24T20:59:59-0300,estatístico
15346488,Estágio em Estatística,Rio de Janeiro,RJ,"R$ 1.000,00",1,2019-09-16,Estagiário,Deverá estar cursando: Ensino Superior cursando. Suporte aos diversos subsistemas internos (comercial; análise de mercado; financeiro; jurídico etc.). Acompanhar concorrência; sugerir melhorias de processos; dentre outras atividades pertinentes a formação. Conhecimentos em Excel.,2019-08-09T20:59:59-0300,estatístico
15409545,ESTAGIÁRIO DE ESTATÍSTICA,Belo Horizonte,MG,"R$ 937,00",1,2019-09-16,Estagiário,Programa de estágio para estudantes da área de exatas . Engloba cursos como matemática; estatística; química; banco de dados; economia e física. PARA OS ESTUDANTES DE: matemática; estatística; química; banco de dados; economia e física A partir do 5° periodo,2019-08-22T20:59:59-0300,estatístico
15438919,Estágio em Estatística,Betim,MG,A Combinar,1,2019-09-16,Estagiário,Ajuda na organização; síntese e análise de dados matemáticos;utilizando técnicas de amostragem; modelagem e inferência; presta suporte para a tomada de decisões gerenciais nas organizações.  Irá com planilhas e indicadores na área de estatística. Conhecimento em Excel avançado. Cursando Administração ou qualquer curso na área de exatas.,2019-08-28T20:59:59-0300,estatístico
