idVaga,NomeVaga,Cidade,UF,Salario,QuantidadeVaga,DataPesquisa,Perfil,Descricao,DataPubli
14962135,Analista de Indicadores e Estatísticas,Campo Grande,MS,"De R$ 2.001,00 a R$ 3.000,00",1,2019-08-28,Profissional,Será responsável por extrair; analisar; interpretar dados; números e estudos da área gerando relatórios gerenciais e dashboards. Apresentar estatísticas baseadas nos estudos da área. Analisar e apontar probabilidades que se anteponham aos riscos. A partir dos números; contribuir para a definição de metas. Controlar o rankeamento dos clientes; de modo a identificar resultados negativos e positivos. Ensino Superior completo em Matemática Aplicada a Negócios; Economia; Estatística ou áreas afins.,2019-07-05T20:59:59-0300
15183999,Trainee de Estatística e banco de dados,São Paulo,SP,"R$ 1.750,00",1,2019-08-28,Profissional,Principais atividades desenvolvidas: realização de análises de tendências; elaboração e utilização de planilhas em Excel; criação de formulários; atualização e adição de informação no MS Access Conhecimentos em pacote Office intermediário (Word; Excel e Access). Conhecimentos em CorelDRAW básico. Responsável por suporte básico as estações de trabalho e servidor da empresa; bem como links de internet e telefone. Necessário estar cursando ou Ensino Superior nas seguintes áreas: Matemática; Geografia; Estatística; Economia; Banco de Dados; Análise e Desenvolvimento de Sistemas ou áreas correlatas.,2019-07-08T20:59:59-0300
15193018,Analista de Modelagem Estatística,Rio de Janeiro,RJ,"De R$ 5.001,00 a R$ 6.000,00",1,2019-08-28,Profissional,Desenvolver e validar modelos de risco e scoring para operação; trabalhando com algorítimos preditivos; Análise de dados; Modelagem de risco de crédito ; aplicar técnicas avançadas para resolver problemas reais e construir estratégias a partir da análise de dados. Domínio de SAS ou SQL; Python e R. Conhecimentos em VBA. Experiência em desenvolvimento de modelos estatísticos e regressão logística. Conhecimentos de serviços de nuvem; em Machine Learning e raciocínio lógico apurado e grande habilidade com números. Desejável ter conhecimentos em Spark. Formação em Estatística; Matemática; Economia; Ciência da Computação; Física ou afins.,2019-07-11T20:59:59-0300
15193018,Analista de Modelagem Estatística,São Paulo,SP,"De R$ 5.001,00 a R$ 6.000,00",1,2019-08-28,Profissional,Desenvolver e validar modelos de risco e scoring para operação; trabalhando com algorítimos preditivos; Análise de dados; Modelagem de risco de crédito ; aplicar técnicas avançadas para resolver problemas reais e construir estratégias a partir da análise de dados. Domínio de SAS ou SQL; Python e R. Conhecimentos em VBA. Experiência em desenvolvimento de modelos estatísticos e regressão logística. Conhecimentos de serviços de nuvem; em Machine Learning e raciocínio lógico apurado e grande habilidade com números. Desejável ter conhecimentos em Spark. Formação em Estatística; Matemática; Economia; Ciência da Computação; Física ou afins.,2019-07-11T20:59:59-0300
15244046,Analista de Desenvolvimento de Modelos Estatísticos,Barueri,SP,A Combinar,1,2019-08-28,Profissional,Atuará na área de Analytics com desenvolvimento de modelos estatísticos; interação com áreas de negócios; avaliação de novas técnicas estatísticas e apresentação de resultados para clientes. Noções técnicas de Machine Learning; SAS; R ou Python e regressão logística.Ensino Superior em Matemática; Estatística; Ciência da Computação ou Engenharia.,2019-07-19T20:59:59-0300
15244079,Analista de Modelos Estatísticos Sênior,Barueri,SP,A Combinar,1,2019-08-28,Profissional,Atuar com desenvolvimento de modelos estatísticos para todo o ciclo de crédito (propensão; concessão e recuperação). Avaliação de novas técnicas estatísticas para melhores resultados; apresentação para clientes de resultados. Para atuação nesta área e protagonizar sua carreira; além de pensamento inovador; você precisará de: Sólidos conhecimentos em técnicas de Machine Learning; Conhecimento em SAS; R ou Python. Vivência em Regressão Logística. Formação necessária para estas posições: Matemática; Estatística; Ciência da Computação ou Engenharia. Remuneração; Benefícios e Vantagens: A Boa Vista SCPC oferece um programa de benefícios flexíveis e você poderá distribuí-los de acordo com suas necessidades: Remuneração compatível com o mercado; Jornada de 40 horas semanais em horário flexível; Trabalho em jornada flexível; Participação nos Resultados (PPR); Assistência Médica; Assistência Odontológica; Vale- refeição/Alimentação; Transporte fretado para diversas regiões conforme disponibilidade/Vale-transporte; Previdência Privada com coparticipação da Boa Vista; Seguro de vida; Convênio farmácia; Convênio SESC; Wi-Fi liberado em todas as áreas; Day-off no dia do seu aniversário + ingresso para cinema; Espaços exclusivos para refeições; lazer e descanso com rede; bebidas quentes; frigobar; televisão; vídeo game; mesa de sinuca; ping-pong e outros jogos; Ambulatório com consultas assistenciais para dependentes legais; incluindo campanhas de vacinas sazonais; PAE Programa de Assistência ao Empregado e Familiares; com atendimento de equipe multidisciplinar por telefone composta por Assistente Social; Psicólogos; Advogados e Nutricionistas 24 horas por dia; 7 dias da semana sem qualquer custo.,2019-07-22T20:59:59-0300
14949110,Estágio em Estatística,São Paulo,SP,"R$ 1.200,00",1,2019-08-28,Estagiário,Deverá estar cursando: Ensino Superior em Estatística ou Economia. Auxiliar no preparo / tabulação das bases de dados geradas em cada etapa do processo; facilitando assim a análise dos resultados. Facilidade de aprendizado; ser comunicativa/o; ter proatividade; boa escrita; agilidade e concentração. Domínio do Excel (macros; tabelas dinâmicas; gráficos; fórmulas; PROCV; entre outros).,2019-07-11T20:59:59-0300
15102801,Estágio em Estatística,Brasilia,DF,"Até R$ 1.000,00",1,2019-08-28,Estagiário,Cursando 4º ano Deverá estar cursando: Ensino Superior. Auxiliar no controle e execução dos programas e processos de estatística; entre demais atividades pertinentes ao cargo.,2019-08-16T20:59:59-0300
15102814,Estágio em Estatística,Lago Sul,DF,"Até R$ 1.000,00",1,2019-08-28,Estagiário,Deverá estar cursando: Ensino Superior. Auxiliar no controle e execução dos programas e processos de estatística; entre demais atividades pertinentes ao cargo.,2019-08-16T20:59:59-0300
15102836,Estágio em Estatística,Sobradinho,DF,"Até R$ 1.000,00",1,2019-08-28,Estagiário,Deverá estar cursando: Ensino Superior. Auxiliar no controle e execução dos programas e processos de estatística; entre demais atividades pertinentes ao cargo.,2019-08-16T20:59:59-0300
